Time,x0(t),x1(t)
12.62,0.00952,0.12097
12.64,0.00928,0.12073
12.66,0.00928,0.12073
12.68,0.00928,0.12073
12.7,0.00928,0.12073
12.72,0.00928,0.12048
12.74,0.00928,0.12048
12.76,0.00928,0.12048
12.78,0.00928,0.12048
12.8,0.00928,0.12048
12.82,0.00928,0.12048
12.84,0.00928,0.12048
12.86,0.00928,0.12048
12.88,0.00928,0.12048
12.9,0.00928,0.12048
12.92,0.00928,0.12024
12.94,0.00928,0.12024
12.96,0.00928,0.12024
12.98,0.00903,0.11975
13.0,0.00903,0.11975
13.02,0.00903,0.11975
13.04,0.00903,0.11975
13.06,0.00903,0.11975
13.08,0.00903,0.11975
13.1,0.00903,0.11926
13.12,0.00879,0.11926
13.14,0.00879,0.11926
13.16,0.00854,0.11902
13.18,0.00854,0.11902
13.2,0.00854,0.11902
13.22,0.00854,0.11902
13.24,0.00854,0.11902
13.26,0.00854,0.11877
13.28,0.00854,0.11853
13.3,0.00854,0.11829
13.32,0.00854,0.1178
13.34,0.00854,0.11755
13.36,0.00854,0.11755
13.38,0.00854,0.11731
13.4,0.00854,0.11707
13.42,0.00854,0.11707
13.44,0.00854,0.11707
13.46,0.00854,0.11707
13.48,0.00854,0.11707
13.5,0.00854,0.11707
13.52,0.00854,0.11682
13.54,0.00854,0.11682
13.56,0.0083,0.11658
13.58,0.0083,0.11658
13.6,0.0083,0.11609
13.62,0.0083,0.11584
13.64,0.0083,0.1156
13.66,0.0083,0.1156
13.68,0.0083,0.11511
13.7,0.0083,0.11511
13.72,0.0083,0.11511
13.74,0.0083,0.11511
13.76,0.0083,0.11511
13.78,0.0083,0.11511
13.8,0.0083,0.11487
13.82,0.0083,0.11462
13.84,0.0083,0.11438
13.86,0.0083,0.11438
13.88,0.0083,0.11438
13.9,0.0083,0.11438
13.92,0.0083,0.11438
13.94,0.0083,0.11438
13.96,0.0083,0.11438
13.98,0.0083,0.11414
14.0,0.00806,0.11414
14.02,0.00806,0.11389
14.04,0.00806,0.11389
14.06,0.00806,0.11389
14.08,0.00806,0.11365
14.1,0.00806,0.11365
14.12,0.00806,0.11365
14.14,0.00806,0.1134
14.16,0.00806,0.1134
14.18,0.00806,0.11316
14.2,0.00806,0.11316
14.22,0.00806,0.11292
14.24,0.00806,0.11292
14.26,0.00806,0.11243
14.28,0.00806,0.11243
14.3,0.00806,0.11218
14.32,0.00806,0.11218
14.34,0.00806,0.11218
14.36,0.00806,0.11218
14.38,0.00806,0.11218
14.4,0.00806,0.11218
14.42,0.00806,0.11218
14.44,0.00806,0.11169
14.46,0.00806,0.11169
14.48,0.00806,0.11169
14.5,0.00806,0.11169
14.52,0.00806,0.11169
14.54,0.00806,0.11169
14.56,0.00806,0.11169
14.58,0.00806,0.11169
14.6,0.00806,0.11121
14.62,0.00806,0.11121
14.64,0.00806,0.11121
14.66,0.00806,0.11121
14.68,0.00806,0.11096
14.7,0.00806,0.11072
14.72,0.00806,0.11047
14.74,0.00806,0.11047
14.76,0.00806,0.11047
14.78,0.00806,0.11047
14.8,0.00806,0.11047
14.82,0.00806,0.11047
14.84,0.00806,0.11047
14.86,0.00806,0.11047
14.88,0.00806,0.11047
14.9,0.00806,0.11047
14.92,0.00806,0.11047
14.94,0.00806,0.11047
14.96,0.00806,0.11047
14.98,0.00806,0.11047
15.0,0.00806,0.11047
15.02,0.00806,0.11047
15.04,0.00806,0.11047
15.06,0.00781,0.11047
15.08,0.00781,0.11047
15.1,0.00781,0.11047
15.12,0.00781,0.11023
15.14,0.00781,0.10999
15.16,0.00781,0.10999
15.18,0.00781,0.10999
15.2,0.00781,0.10999
15.22,0.00781,0.10974
15.24,0.00781,0.10974
15.26,0.00781,0.10974
15.28,0.00781,0.1095
15.3,0.00781,0.1095
15.32,0.00781,0.1095
15.34,0.00781,0.1095
15.36,0.00781,0.1095
15.38,0.00781,0.1095
15.4,0.00781,0.1095
15.42,0.00781,0.10925
15.44,0.00781,0.10901
15.46,0.00781,0.10901
15.48,0.00781,0.10901
15.5,0.00781,0.10901
15.52,0.00781,0.10876
15.54,0.00781,0.10876
15.56,0.00781,0.10828
15.58,0.00781,0.10803
15.6,0.00781,0.10754
15.62,0.00781,0.10706
15.64,0.00781,0.10657
15.66,0.00781,0.10632
15.68,0.00781,0.10632
15.7,0.00781,0.10608
15.72,0.00781,0.10608
15.74,0.00781,0.10583
15.76,0.00781,0.10583
15.78,0.00781,0.10559
15.8,0.00781,0.10559
15.82,0.00781,0.10559
15.84,0.00781,0.1051
15.86,0.00781,0.1051
15.88,0.00781,0.1051
15.9,0.00781,0.1051
15.92,0.00781,0.10461
15.94,0.00781,0.10437
15.96,0.00781,0.10388
15.98,0.00781,0.10364
16.0,0.00781,0.10339
16.02,0.00781,0.10339
16.04,0.00781,0.10339
16.06,0.00781,0.10315
16.08,0.00781,0.10315
16.1,0.00781,0.10315
16.12,0.00781,0.10315
16.14,0.00781,0.10315
16.16,0.00781,0.10315
16.18,0.00781,0.10315
16.2,0.00781,0.10315
16.22,0.00781,0.10315
16.24,0.00781,0.10291
16.26,0.00781,0.10291
16.28,0.00781,0.10291
16.3,0.00781,0.10291
16.32,0.00781,0.10291
16.34,0.00781,0.10291
16.36,0.00757,0.10266
16.38,0.00757,0.10266
16.4,0.00757,0.10217
16.42,0.00757,0.10217
16.44,0.00757,0.10217
16.46,0.00757,0.10193
16.48,0.00732,0.10193
16.5,0.00732,0.10193
16.52,0.00732,0.10193
16.54,0.00732,0.10168
16.56,0.00732,0.10168
16.58,0.00732,0.10168
16.6,0.00732,0.10144
16.62,0.00732,0.1012
16.64,0.00732,0.10095
16.66,0.00732,0.10095
16.68,0.00732,0.10095
